name,type,"mosi","miso"
"SPI","enable",,
"SPI","result",0x27,0xFF
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x0F
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x29,0xFF
"SPI","result",0x00,0xDF
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x67
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x33,0xFF
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0xFF
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x35,0xFF
"SPI","result",0x00,0xD9
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x02
"SPI","result",0x00,0x9F
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x37,0xFF
"SPI","result",0x00,0xFA
"SPI","result",0x00,0x23
"SPI","result",0x00,0x00
"SPI","result",0x00,0x01
"SPI","result",0x00,0x77
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x43,0xFF
"SPI","result",0x00,0x60
"SPI","result",0x00,0x08
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x0F
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x2D,0xFF
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x07
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x2F,0xFF
"SPI","result",0x00,0x2F
"SPI","result",0x00,0xFB
"SPI","result",0x00,0xFF
"SPI","result",0x00,0xFF
"SPI","result",0x00,0x41
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x2B,0xFF
"SPI","result",0x00,0x18
"SPI","result",0x00,0x14
"SPI","result",0x00,0x00
"SPI","result",0x00,0x03
"SPI","result",0x00,0x4F
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x31,0xFF
"SPI","result",0x00,0x2A
"SPI","result",0x00,0x30
"SPI","result",0x00,0x00
"SPI","result",0x00,0x01
"SPI","result",0x00,0xFF
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x27,0xFF
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x0B
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x29,0xFF
"SPI","result",0x00,0x86
"SPI","result",0x00,0x06
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0xE7
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x33,0xFF
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0xFF
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x35,0xFF
"SPI","result",0x00,0x52
"SPI","result",0x00,0x40
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x63
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x37,0xFF
"SPI","result",0x00,0x91
"SPI","result",0x00,0x04
"SPI","result",0x00,0x04
"SPI","result",0x00,0x01
"SPI","result",0x00,0x27
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x43,0xFF
"SPI","result",0x00,0x60
"SPI","result",0x00,0x08
"SPI","result",0x00,0x00
"SPI","result",0x00,0x01
"SPI","result",0x00,0x0F
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x2D,0xFF
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x07
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x2F,0xFF
"SPI","result",0x00,0x26
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x01
"SPI","result",0x00,0x63
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x2B,0xFF
"SPI","result",0x00,0xB0
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x01
"SPI","result",0x00,0x7F
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x31,0xFF
"SPI","result",0x00,0x76
"SPI","result",0x00,0x08
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0xFF
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x27,0xFF
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x0B
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x29,0xFF
"SPI","result",0x00,0x78
"SPI","result",0x00,0x02
"SPI","result",0x00,0x00
"SPI","result",0x00,0x01
"SPI","result",0x00,0x31
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x33,0xFF
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0xFF
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x35,0xFF
"SPI","result",0x00,0x27
"SPI","result",0x00,0x30
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x64
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x37,0xFF
"SPI","result",0x00,0xF2
"SPI","result",0x00,0x48
"SPI","result",0x00,0x08
"SPI","result",0x00,0x05
"SPI","result",0x00,0x8F
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x43,0xFF
"SPI","result",0x00,0x40
"SPI","result",0x00,0x10
"SPI","result",0x00,0x00
"SPI","result",0x00,0x01
"SPI","result",0x00,0x0F
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x2D,0xFF
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x05
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x2F,0xFF
"SPI","result",0x00,0x16
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x01
"SPI","result",0x00,0xD7
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x2B,0xFF
"SPI","result",0x00,0x78
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0x04
"SPI","result",0x00,0x7F
"SPI","disable",,
"SPI","enable",,
"SPI","result",0x31,0xFF
"SPI","result",0x00,0xC0
"SPI","result",0x00,0x40
"SPI","result",0x00,0x00
"SPI","result",0x00,0x00
"SPI","result",0x00,0xFF
"SPI","disable",,
