frame,count,cmd_mosi,data_miso,checksum_expected,checksum_miso,checksum_ok,has_data
1,6,0x27,0x00 0x00 0x00 0x00,0x0B,0x0F,no,no
2,6,0x29,0xDF 0x00 0x00 0x00,0x2A,0x67,no,yes
3,6,0x33,0x00 0x00 0x00 0x00,0xFF,0xFF,yes,no
4,6,0x35,0xD9 0x00 0x00 0x02,0x22,0x9F,no,yes
5,6,0x37,0xFA 0x23 0x00 0x01,0xDD,0x77,no,yes
6,6,0x43,0x60 0x08 0x00 0x00,0x87,0x0F,no,yes
7,6,0x2D,0x00 0x00 0x00 0x00,0x05,0x07,no,no
8,6,0x2F,0x2F 0xFB 0xFF 0xFF,0xDB,0x41,no,yes
9,6,0x2B,0x18 0x14 0x00 0x03,0xD8,0x4F,no,yes
10,6,0x31,0x2A 0x30 0x00 0x01,0xA6,0xFF,no,yes
11,6,0x27,0x00 0x00 0x00 0x00,0x0B,0x0B,yes,no
12,6,0x29,0x86 0x06 0x00 0x00,0x7D,0xE7,no,yes
13,6,0x33,0x00 0x00 0x00 0x00,0xFF,0xFF,yes,no
14,6,0x35,0x52 0x40 0x00 0x00,0x6B,0x63,no,yes
15,6,0x37,0x91 0x04 0x04 0x01,0x61,0x27,no,yes
16,6,0x43,0x60 0x08 0x00 0x01,0x86,0x0F,no,yes
17,6,0x2D,0x00 0x00 0x00 0x00,0x05,0x07,no,no
18,6,0x2F,0x26 0x00 0x00 0x01,0xDC,0x63,no,yes
19,6,0x2B,0xB0 0x00 0x00 0x01,0x56,0x7F,no,yes
20,6,0x31,0x76 0x08 0x00 0x00,0x83,0xFF,no,yes
21,6,0x27,0x00 0x00 0x00 0x00,0x0B,0x0B,yes,no
22,6,0x29,0x78 0x02 0x00 0x01,0x8E,0x31,no,yes
23,6,0x33,0x00 0x00 0x00 0x00,0xFF,0xFF,yes,no
24,6,0x35,0x27 0x30 0x00 0x00,0xA6,0x64,no,yes
25,6,0x37,0xF2 0x48 0x08 0x05,0xB4,0x8F,no,yes
26,6,0x43,0x40 0x10 0x00 0x01,0x9E,0x0F,no,yes
27,6,0x2D,0x00 0x00 0x00 0x00,0x05,0x05,yes,no
28,6,0x2F,0x16 0x00 0x00 0x01,0xEC,0xD7,no,yes
29,6,0x2B,0x78 0x00 0x00 0x04,0x8B,0x7F,no,yes
30,6,0x31,0xC0 0x40 0x00 0x00,0x01,0xFF,no,yes
